"","mit_sku","year","month","mfg","unit_sale","cost","conductor","phase","kva","p_volt","s_volt","date","weeks_time"
"4373","MIT-DRY-111-CU",2020,2,"mgm",1260,704.62225,"CU","3",45,"480D","240D/CT",2020-02-01,87.1
"4374","MIT-AUT-112",2021,6,"hps",1072,704.54,"CU","3",9,"600Y","208Y",2021-06-01,156.6
"4375","MIT-AUT-112",2021,5,"hps",1020,704.54,"CU","3",9,"600Y","208Y",2021-05-01,152.1
"4376","MIT-DRY-109",2019,4,"jeff",807,700.33,"AL","3",15,"480D","240D/CT",2019-04-01,43.4
"4377","MIT-AUT-105",2021,1,"hps",1170,699.1,"CU","3",45,"600Y","480Y",2021-01-01,135
"4378","MIT-AUT-104",2021,6,"hps",947,694.14,"CU","3",30,"600Y","480Y",2021-06-01,156.6
"4379","MIT-AUT-104",2021,5,"hps",947,694.14,"CU","3",30,"600Y","480Y",2021-05-01,152.1
"4380","MIT-DRY-123",2018,12,"egr",1659,693,"AL","1",75,"240x480","120/240",2018-12-01,26.1
"4381","MIT-DRY-123",2019,11,"egr",1850,693,"AL","1",75,"240x480","120/240",2019-11-01,74
"4382","MIT-DRY-123",2019,9,"egr",1659,693,"AL","1",75,"240x480","120/240",2019-09-01,65.3
"4383","MIT-DRY-123",2018,6,"egr",1659,693,"AL","1",75,"240x480","120/240",2018-06-01,0
"4384","MIT-DRY-123",2020,3,"egr",1175,693,"AL","1",75,"240x480","120/240",2020-03-01,91.3
"4385","MIT-DRY-123",2019,10,"egr",1659,693,"AL","1",75,"240x480","120/240",2019-10-01,69.6
"4386","MIT-DRY-123",2019,6,"egr",1078,693,"AL","1",75,"240x480","120/240",2019-06-01,52.1
"4387","MIT-DRY-123",2020,7,"egr",1659,693,"AL","1",75,"240x480","120/240",2020-07-01,108.7
"4388","MIT-DRY-123",2020,4,"egr",1975,693,"AL","1",75,"240x480","120/240",2020-04-01,95.7
"4389","MIT-DRY-123",2018,11,"egr",1659,693,"AL","1",75,"240x480","120/240",2018-11-01,21.9
"4390","MIT-DRY-123",2018,9,"egr",1659,693,"AL","1",75,"240x480","120/240",2018-09-01,13.1
"4391","MIT-DRY-123",2020,3,"egr",1659,693,"AL","1",75,"240x480","120/240",2020-03-01,91.3
"4392","MIT-DRY-123",2019,8,"egr",1155,693,"AL","1",75,"240x480","120/240",2019-08-01,60.9
"4393","MIT-DRY-123",2019,7,"egr",1659,693,"AL","1",75,"240x480","120/240",2019-07-01,56.4
"4394","MIT-DRY-123",2019,7,"egr",1850,693,"AL","1",75,"240x480","120/240",2019-07-01,56.4
"4395","MIT-DRY-123",2018,7,"egr",1659,693,"AL","1",75,"240x480","120/240",2018-07-01,4.3
"4396","MIT-DRY-123",2019,3,"egr",1252.55,693,"AL","1",75,"240x480","120/240",2019-03-01,39
"4397","MIT-AUT-114",2020,6,"hps",1350,690.61,"CU","3",30,"600Y","208Y",2020-06-01,104.4
"4398","MIT-AUT-114",2020,7,"hps",1370,690.61,"CU","3",30,"600Y","208Y",2020-07-01,108.7
"4399","MIT-AUT-114",2020,7,"hps",1370,690.605,"CU","3",30,"600Y","208Y",2020-07-01,108.7
"4400","MIT-DRY-102-CU",2019,12,"mgm",1235,677.297257,"CU","3",45,"480D","208Y",2019-12-01,78.3
"4401","MIT-AUT-105",2021,1,"hps",1170,674.1,"CU","3",45,"600Y","480Y",2021-01-01,135
"4402","MIT-AUT-105",2020,10,"hps",1124,674.1,"CU","3",45,"600Y","480Y",2020-10-01,121.9
"4403","MIT-AUT-112",2022,1,"hps",892,669.09,"CU","3",9,"600Y","208Y",2022-01-01,187.1
"4404","MIT-AUT-112",2021,12,"hps",836,669.09,"CU","3",9,"600Y","208Y",2021-12-01,182.7
"4405","MIT-AUT-112",2022,2,"hps",892,669.09,"CU","3",9,"600Y","208Y",2022-02-01,191.6
"4406","MIT-AUT-112",2021,11,"hps",1016.11,669.09,"CU","3",9,"600Y","208Y",2021-11-01,178.4
"4407","MIT-DRY-109",2019,5,"jeff",807,662.89,"AL","3",15,"480D","240D/CT",2019-05-01,47.7
"4408","MIT-DRY-111",2019,9,"mgm",1260,657.2745937,"AL","3",45,"480D","240D/CT",2019-09-01,65.3
"4409","MIT-DRY-111",2019,8,"mgm",1260,657.2745937,"AL","3",45,"480D","240D/CT",2019-08-01,60.9
"4410","MIT-AUT-104",2021,12,"hps",821,656.99,"CU","3",30,"600Y","480Y",2021-12-01,182.7
"4411","MIT-AUT-104",2022,2,"hps",876,656.99,"CU","3",30,"600Y","480Y",2022-02-01,191.6
"4412","MIT-AUT-104",2022,1,"hps",876,656.99,"CU","3",30,"600Y","480Y",2022-01-01,187.1
"4413","MIT-AUT-106",2020,7,"hps",1407,656.7,"CU","3",75,"600Y","480Y",2020-07-01,108.7
"4414","MIT-DRY-119",2021,7,"hps",820,655.8,"AL","1",15,"240x480","120/240",2021-07-01,160.9
"4415","MIT-DRY-119",2021,10,"hps",820,655.8,"AL","1",15,"240x480","120/240",2021-10-01,174
"4416","MIT-DRY-119",2021,7,"hps",673,655.8,"AL","1",15,"240x480","120/240",2021-07-01,160.9
"4417","MIT-DRY-119",2021,8,"hps",820,655.8,"AL","1",15,"240x480","120/240",2021-08-01,165.3
"4418","MIT-AUT-106",2020,5,"hps",1407,655.45,"CU","3",75,"600Y","480Y",2020-05-01,100
"4419","MIT-DRY-109",2021,9,"jeff",1350,653,"AL","3",15,"480D","240D/CT",2021-09-01,169.7
"4420","MIT-DRY-100",2021,12,"hps",975,652.48,"AL","3",15,"480D","208Y",2021-12-01,182.7
"4421","MIT-AUT-112",2021,6,"hps",1072,649.461927391393,"CU","3",9,"600Y","208Y",2021-06-01,156.6
"4422","MIT-AUT-113",2021,2,"hps",1252,648.9,"CU","3",15,"600Y","208Y",2021-02-01,139.4
"4423","MIT-AUT-106",2020,8,"hps",1407,648.76,"CU","3",75,"600Y","480Y",2020-08-01,113.1
"4424","MIT-AUT-106",2020,7,"hps",1407,648.76,"CU","3",75,"600Y","480Y",2020-07-01,108.7
"4425","MIT-DRY-102",2019,10,"mgm",1029,648.354117,"AL","3",45,"480D","208Y",2019-10-01,69.6
"4426","MIT-DRY-111-CU",2020,3,"mgm",1260,645.9622367,"CU","3",45,"480D","240D/CT",2020-03-01,91.3
"4427","MIT-DRY-111-CU",2020,2,"mgm",1400,645.9622367,"CU","3",45,"480D","240D/CT",2020-02-01,87.1
"4428","MIT-AUT-104",2020,11,"hps",850,644.6,"CU","3",30,"600Y","480Y",2020-11-01,126.3
"4429","MIT-AUT-112",2021,2,"hps",800,643.35,"CU","3",9,"600Y","208Y",2021-02-01,139.4
"4430","MIT-AUT-104",2021,1,"hps",885,637.9,"CU","3",30,"600Y","480Y",2021-01-01,135
"4431","MIT-AUT-112",2020,12,"hps",964,637.69,"CU","3",9,"600Y","208Y",2020-12-01,130.6
"4432","MIT-DRY-119",2019,6,"hps",653,636.51,"AL","1",15,"240x480","120/240",2019-06-01,52.1
"4433","MIT-AUT-104",2021,2,"hps",885,632.87,"CU","3",30,"600Y","480Y",2021-02-01,139.4
"4434","MIT-AUT-104",2021,2,"hps",885,631.33,"CU","3",30,"600Y","480Y",2021-02-01,139.4
"4435","MIT-DRY-119",2021,6,"hps",673,627.6,"AL","1",15,"240x480","120/240",2021-06-01,156.6
"4436","MIT-DRY-133",2021,6,"jeff",2060,627.4545455,"AL","3",45,"208D","480Y",2021-06-01,156.6
"4437","MIT-DRY-133",2021,8,"jeff",2060,627.4545455,"AL","3",45,"208D","480Y",2021-08-01,165.3
"4438","MIT-DRY-133",2021,9,"jeff",2060,627.4545455,"AL","3",45,"208D","480Y",2021-09-01,169.7
"4439","MIT-DRY-133",2021,7,"jeff",2060,627.4545455,"AL","3",45,"208D","480Y",2021-07-01,160.9
"4440","MIT-AUT-104",2020,10,"hps",850,626.69,"CU","3",30,"600Y","480Y",2020-10-01,121.9
"4441","MIT-AUT-104",2020,5,"hps",850,626.69,"CU","3",30,"600Y","480Y",2020-05-01,100
"4442","MIT-AUT-104",2020,11,"hps",850,626.69,"CU","3",30,"600Y","480Y",2020-11-01,126.3
"4443","MIT-AUT-104",2021,9,"hps",947,622.549648963075,"CU","3",30,"600Y","480Y",2021-09-01,169.7
"4444","MIT-AUT-111",2022,2,"hps",638,620.06,"CU","3",6,"600Y","208Y",2022-02-01,191.6
"4445","MIT-AUT-111",2022,2,"hps",638,619.52,"CU","3",6,"600Y","208Y",2022-02-01,191.6
"4446","MIT-AUT-111",2022,2,"hps",638,618.98,"CU","3",6,"600Y","208Y",2022-02-01,191.6
"4447","MIT-DRY-119",2019,1,"hps",653,617.88,"AL","1",15,"240x480","120/240",2019-01-01,30.6
"4448","MIT-AUT-111",2022,2,"hps",638,617.36,"CU","3",6,"600Y","208Y",2022-02-01,191.6
"4449","MIT-AUT-111",2022,1,"hps",638,616.82,"CU","3",6,"600Y","208Y",2022-01-01,187.1
"4450","MIT-DRY-141",2021,3,"mgm",2060,609.5,"AL","3",45,"240D","480Y",2021-03-01,143.4
"4451","MIT-DRY-131",2022,3,"jeff",1486,600.8333333,"AL","3",15,"208D","480Y",2022-03-01,195.6
"4452","MIT-DRY-131",2021,11,"jeff",1471,600.8333333,"AL","3",15,"208D","480Y",2021-11-01,178.4
"4453","MIT-DRY-131",2022,1,"jeff",1114,600.8333333,"AL","3",15,"208D","480Y",2022-01-01,187.1
"4454","MIT-DRY-131",2022,2,"jeff",1486,600.8333333,"AL","3",15,"208D","480Y",2022-02-01,191.6
"4455","MIT-DRY-131",2021,12,"jeff",1486,600.8333333,"AL","3",15,"208D","480Y",2021-12-01,182.7
"4456","MIT-AUT-112",2021,9,"hps",1072,597.4,"CU","3",9,"600Y","208Y",2021-09-01,169.7
"4457","MIT-DRY-110-CU",2020,12,"mgm",1156,596.310384,"CU","3",30,"480D","240D/CT",2020-12-01,130.6
"4458","MIT-DRY-111-CU",2019,12,"mgm",1260,592,"CU","3",45,"480D","240D/CT",2019-12-01,78.3
"4459","MIT-DRY-111-CU",2019,10,"mgm",1260,592,"CU","3",45,"480D","240D/CT",2019-10-01,69.6
"4460","MIT-DRY-101-CU",2019,10,"mgm",878,591.602857,"CU","3",30,"480D","208Y",2019-10-01,69.6
"4461","MIT-DRY-187",2020,7,"hps",1750,591.11,"AL","3",15,"208D","380x400x416Y",2020-07-01,108.7
"4462","MIT-DRY-119",2020,4,"hps",653,586.99,"AL","1",15,"240x480","120/240",2020-04-01,95.7
"4463","MIT-AUT-104",2021,6,"hps",947,586.6,"CU","3",30,"600Y","480Y",2021-06-01,156.6
